"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","FT","FT","FT","FT","FT","QA","QA","QA","QA","QA","","","","","","","",""
"Continuity","passVolt_mV","","200","GE","LE","700","mV","","NA","NA"," ","","81","Continuity","8","DC","","","yes",""
"Func_MARCH6N_1600K","Functional","","","NA","NA","","","","NA","NA","","","62","MARCH","6","Func","","","yes",""
"Func_MARCH6N_1866M","Functional","","","NA","NA","","","","NA","NA","","","62","MARCH","6","Func","","","yes",""
"Func_MARCH6N_2133P","Functional","","","NA","NA","","","","NA","NA","","","62","MARCH","6","Func","","","yes",""
"Func_MARCH6N_2400R","Functional","","","NA","NA","","","","NA","NA","","","62","MARCH","6","Func","","","yes",""
"Func_SOLID_1600K","Functional","","","NA","NA","","","","NA","NA","","","61","SOLID","6","Func","","","yes",""
"Func_SOLID_1866M","Functional","","","NA","NA","","","","NA","NA","","","61","SOLID","6","Func","","","yes",""
"Func_SOLID_2133P","Functional","","","NA","NA","","","","NA","NA","","","61","SOLID","6","Func","","","yes",""
"Func_SOLID_2400R","Functional","","","NA","NA","","","","NA","NA","","","61","SOLID","6","Func","","","yes",""
"Func_SOLID_CRC_DBI_NoPAR_1600K","Functional","","","NA","NA","","","","NA","NA","","","63","CRC_DBI_NoPAR","6","Func","","","yes",""
"Func_SOLID_CRC_DBI_PAR_1600K","Functional","","","NA","NA","","","","NA","NA","","","64","CRC_DBI_PAR","6","Func","","","yes",""
"Func_SOLID_CRC_NoDBI_NoPAR_1600K","Functional","","","NA","NA","","","","NA","NA","","","65","CRC_NoDBI_NoPAR","6","Func","","","yes",""
"Func_SOLID_CRC_NoDBI_PAR_1600K","Functional","","","NA","NA","","","","NA","NA","","","66","CRC_NoDBI_PAR","6","Func","","","yes",""
"Func_SOLID_NoCRC_DBI_NoPAR_1600K","Functional","","","NA","NA","","","","NA","NA","","","67","NoCRC_DBI_NoPAR","6","Func","","","yes",""
